internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
166036,Schizothorax yunnanensis,"Schizothorax  yunnanensis   Norman, 1923 ssp. weiningensis Chen, 1998",Schizothorax ,yunnanensis ," Norman, 1923",subspecies,"Chen, 1998"
166054,Gobiobotia kolleri,"Gobiobotia  intermedia  Bănărescu & Nalbant, 1968 ssp. fukiensis Bănărescu & Nalbant, 1968",Gobiobotia ,intermedia ,"Bănărescu & Nalbant, 1968",subspecies,"Bănărescu & Nalbant, 1968"
166058,Sinibotia robusta,Botia robusta Wu (1939),Botia,robusta,Wu (1939),,
166058,Sinibotia robusta,Botia hexafurca Mai (1978),Botia,hexafurca,Mai (1978),,
166062,Schistura incerta,"Barbatula  incerta Nichols, 1931",Barbatula ,incerta,"Nichols, 1931",,
166062,Schistura incerta,"Barbatula  uniformis Mai, 1978",Barbatula ,uniformis,"Mai, 1978",,
166062,Schistura incerta,"Nemacheilus incertus (Nichols, 1931)",Nemacheilus,incertus,"(Nichols, 1931)",,
166062,Schistura incerta,"Noemacheilus  incertus (Nichols, 1931)",Noemacheilus ,incertus,"(Nichols, 1931)",,
166071,Tachysurus vachellii,"Pelteobagrus vachellii (Richardson, 1846)",Pelteobagrus,vachellii,"(Richardson, 1846)",,
166071,Tachysurus vachellii,"Pseudobagrus vachellii (Richardson, 1846)",Pseudobagrus,vachellii,"(Richardson, 1846)",,
166071,Tachysurus vachellii,"Bagrus vachellii Richardson, 1846",Bagrus,vachellii,"Richardson, 1846",,
166076,Erromyzon sinensis,"Protomyzon sinensis Chen, 1980",Protomyzon,sinensis,"Chen, 1980",,
166080,Schistura fasciolata,"Barbatula  fasciolata (Nichols & Pope, 1927)",Barbatula ,fasciolata,"(Nichols & Pope, 1927)",,
166080,Schistura fasciolata,"Homaloptera  fasciolata Nichols & Pope, 1927",Homaloptera ,fasciolata,"Nichols & Pope, 1927",,
166080,Schistura fasciolata,"Nemacheilus fasciolatus (Nichols & Pope, 1927)",Nemacheilus,fasciolatus,"(Nichols & Pope, 1927)",,
166080,Schistura fasciolata,"Noemacheilus  fasciolatus (Nichols & Pope, 1927)",Noemacheilus ,fasciolatus,"(Nichols & Pope, 1927)",,
166103,Luciobrama macrocephalus,"Luciobrama longiceps Pellegrin, 1907",Luciobrama,longiceps,"Pellegrin, 1907",,
166103,Luciobrama macrocephalus,"Luciobrama typus Bleeker, 1871",Luciobrama,typus,"Bleeker, 1871",,
166103,Luciobrama macrocephalus,"Synodus macrocephalus Lacepède, 1803",Synodus,macrocephalus,"Lacepède, 1803",,
166106,Oreonectes platycephalus,genus species 1,genus,species 1,,,
166106,Oreonectes platycephalus,"Homaloptera  rotundicauda Martens, 1868",Homaloptera ,rotundicauda,"Martens, 1868",,
166106,Oreonectes platycephalus,"Oreonectes  yenlingi Lin, 1932",Oreonectes ,yenlingi,"Lin, 1932",,
166118,Squalidus argentatus,"Gnathopogon  argentatus (Sauvage & Darby de Thiersant, 1874)",Gnathopogon ,argentatus,"(Sauvage & Darby de Thiersant, 1874)",,
166118,Squalidus argentatus,"Gnathopogon  argentatus  (Sauvage & Dabry de Thiersant, 1874) ssp. argentatus (Sauvage & Dabry de Thiersant, 1874)",Gnathopogon ,argentatus ,"(Sauvage & Dabry de Thiersant, 1874)",subspecies,"(Sauvage & Dabry de Thiersant, 1874)"
166118,Squalidus argentatus,"Gobio  argentatus Sauvage & Dabry de Thiersant, 1874",Gobio ,argentatus,"Sauvage & Dabry de Thiersant, 1874",,
