assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2451947,196386,Stenogobius marqueti,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Stenogobius,marqueti,,,,"Watson, 1991",Data Deficient,,3.1,Unknown,Global
2452140,196388,Stenogobius randalli,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Stenogobius,randalli,,,,"Watson, 1991",Data Deficient,,3.1,Unknown,Global
2452229,196389,Stenogobius squamosus,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Stenogobius,squamosus,,,,"Watson, 1991",Data Deficient,,3.1,Unknown,Global
2452493,196392,Stiphodon astilbos,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Stiphodon,astilbos,,,,"Ryan, 1986",Data Deficient,,3.1,Unknown,Global
2453341,196397,Stiphodon hydroreibatus,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Stiphodon,hydroreibatus,,,,"Watson, 1999",Data Deficient,,3.1,Unknown,Global
2453612,196399,Stiphodon kalfatak,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Stiphodon,kalfatak,,,,"Keith, Marquet &amp; Watson, 2007",Data Deficient,,3.1,Unknown,Global
2453784,196401,Stiphodon mele,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Stiphodon,mele,,,,"Keith, Marquet &amp; Pouilly, 2009",Data Deficient,,3.1,Unknown,Global
2454430,196407,Taenioides cirratus,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Taenioides,cirratus,,,,"(Blyth, 1860)",Data Deficient,,3.1,Unknown,Global
2455118,196411,Kuhlia malo,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,KUHLIIDAE,Kuhlia,malo,,,,"(Valenciennes, 1831)",Data Deficient,,3.1,Unknown,Global
2455320,196413,Kuhlia munda,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,KUHLIIDAE,Kuhlia,munda,,,,"(De Vis, 1884)",Data Deficient,,3.1,Unknown,Global
2455496,196414,Kuhlia salelea,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,KUHLIIDAE,Kuhlia,salelea,,,,"Schultz, 1943",Data Deficient,,3.1,Unknown,Global
2455907,196418,Cestraeus goldiei,ANIMALIA,CHORDATA,MUGILIFORMES,ACTINOPTERYGII,MUGILIDAE,Cestraeus,goldiei,,,,"(Macleay, 1883)",Data Deficient,,3.1,Unknown,Global
2456924,196429,Yirrkala gjellerupi,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,OPHICHTHIDAE,Yirrkala,gjellerupi,,,,"(Weber &amp; de Beaufort, 1916)",Data Deficient,,3.1,Unknown,Global
2457207,196435,Rhyacichthys guilberti,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,RHYACICHTHYIDAE,Rhyacichthys,guilberti,,,,"Dingerkus &amp; Séret, 1992",Data Deficient,,3.1,Decreasing,Global
